IBOV - Carteira do Dia 11/11/24
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Bens Indls / Máqs e Equips;WEGE3;WEG;ON      NM;1.269.032.828;3,321;3,321;
Bens Indls / Mat Transporte;EMBR3;EMBRAER;ON      NM;734.632.601;1,877;1,877;
Bens Indls/Transporte;AZUL4;AZUL;PN      N2;328.421.113;0,080;2,271;
Bens Indls/Transporte;CCRO3;CCR SA;ON  ED  NM;991.920.937;0,551;2,271;
Bens Indls/Transporte;RAIL3;RUMO S.A.;ON      NM;1.215.994.115;1,123;2,271;
Bens Indls/Transporte;STBP3;SANTOS BRP;ON      NM;855.712.622;0,517;2,271;
Cons N  Básico / Alimentos Processados;BRFS3;BRF SA;ON      NM;814.523.002;0,932;3,286;
Cons N  Básico / Alimentos Processados;JBSS3;JBS;ON      NM;1.142.696.472;1,898;3,286;
Cons N  Básico / Alimentos Processados;MRFG3;MARFRIG;ON      NM;302.019.876;0,217;3,286;
Cons N  Básico / Alimentos Processados;BEEF3;MINERVA;ON      NM;261.359.935;0,067;3,286;
Cons N  Básico / Alimentos Processados;SMTO3;SAO MARTINHO;ON      NM;142.348.116;0,172;3,286;
Cons N Cíclico / Bebidas;ABEV3;AMBEV S/A;ON;4.394.835.131;2,574;2,574;
Cons N Cíclico / Comércio Distr.;ASAI3;ASSAI;ON      NM;1.349.687.675;0,449;0,678;
Cons N Cíclico / Comércio Distr.;CRFB3;CARREFOUR BR;ON      NM;531.901.983;0,176;0,678;
Cons N Cíclico / Comércio Distr.;PCAR3;P.ACUCAR-CBD;ON  ATZ NM;379.327.171;0,053;0,678;
Cons N Cíclico / Pr Pessoal Limp;NTCO3;GRUPO NATURA;ON      NM;849.350.756;0,586;0,586;
Cons N Ciclico/Agropecuária;SLCE3;SLC AGRICOLA;ON      NM;194.261.422;0,160;0,160;
Consumo Cíclico / Comércio;AZZA3;AZZAS 2154;ON      NM;127.330.493;0,243;1,243;
Consumo Cíclico / Comércio;LREN3;LOJAS RENNER;ON      NM;952.487.418;0,768;1,243;
Consumo Cíclico / Comércio;MGLU3;MAGAZ LUIZA;ON      NM;353.448.195;0,161;1,243;
Consumo Cíclico / Comércio;PETZ3;PETZ;ON      NM;307.729.428;0,071;1,243;
Consumo Cíclico / Tecid Vest Calç;ALPA4;ALPARGATAS;PN      N1;166.460.180;0,052;0,205;
Consumo Cíclico / Tecid Vest Calç;VIVA3;VIVARA S.A.;ON      NM;125.823.025;0,153;0,205;
Consumo Cíclico/Constr Civil;CYRE3;CYRELA REALT;ON      NM;264.710.610;0,270;0,459;
Consumo Cíclico/Constr Civil;EZTC3;EZTEC;ON  ED  NM;97.334.950;0,066;0,459;
Consumo Cíclico/Constr Civil;MRVE3;MRV;ON      NM;375.335.828;0,123;0,459;
Consumo Cíclico/Viagens e Lazer;CVCB3;CVC BRASIL;ON      NM;525.591.097;0,051;0,051;
Diversos;COGN3;COGNA ON;ON      NM;1.872.454.628;0,121;2,292;
Diversos;RENT3;LOCALIZA;ON      NM;977.700.485;1,899;2,292;
Diversos;VAMO3;VAMOS;ON      NM;485.166.826;0,132;2,292;
Diversos;YDUQ3;YDUQS PART;ON      NM;290.010.465;0,140;2,292;
Financ e Outros / Explor Imóveis;ALOS3;ALLOS;ON      NM;502.481.592;0,519;1,094;
Financ e Outros / Explor Imóveis;IGTI11;IGUATEMI S.A;UNT     N1;211.468.849;0,202;1,094;
Financ e Outros / Explor Imóveis;MULT3;MULTIPLAN;ON      N2;318.010.631;0,373;1,094;
Financ e Outros / Holdings Divers;ITSA4;ITAUSA;PN      N1;5.504.638.590;2,795;2,795;
Financ e Outros / Interms Financs;BBDC3;BRADESCO;ON  EJ  N1;1.484.426.957;0,849;17,513;
Financ e Outros / Interms Financs;BBDC4;BRADESCO;PN  EJ  N1;5.129.958.973;3,292;17,513;
Financ e Outros / Interms Financs;BBAS3;BRASIL;ON      NM;2.842.613.858;3,509;17,513;
Financ e Outros / Interms Financs;BPAC11;BTGP BANCO;UNT     N2;1.287.247.964;1,987;17,513;
Financ e Outros / Interms Financs;ITUB4;ITAUUNIBANCO;PN  EJ  N1;4.455.161.368;7,424;17,513;
Financ e Outros / Interms Financs;SANB11;SANTANDER BR;UNT;356.586.730;0,452;17,513;
Financ e Outros / Previd  Seguros;BBSE3;BBSEGURIDADE;ON      NM;637.332.335;1,038;1,544;
Financ e Outros / Previd  Seguros;CXSE3;CAIXA SEGURI;ON  ED  NM;517.500.000;0,347;1,544;
Financ e Outros / Previd  Seguros;IRBR3;IRBBRASIL RE;ON      NM;81.838.243;0,159;1,544;
Financeiro e Outros/Serviços Financeiros Diversos;B3SA3;B3;ON      NM;5.511.401.013;2,699;2,699;
Mats Básicos / Madeira e Papel;KLBN11;KLABIN S/A;UNT     N2;765.785.673;0,753;2,503;
Mats Básicos / Madeira e Papel;SUZB3;SUZANO S.A.;ON      NM;630.821.784;1,750;2,503;
Mats Básicos / Mineração;BRAP4;BRADESPAR;PN      N1;250.969.312;0,231;12,839;
Mats Básicos / Mineração;CMIN3;CSNMINERACAO;ON      N2;1.110.559.345;0,308;12,839;
Mats Básicos / Mineração;VALE3;VALE;ON      NM;4.270.903.023;12,300;12,839;
Mats Básicos / Químicos;BRKM5;BRASKEM;PNA     N1;265.388.400;0,199;0,199;
Mats Básicos / Sid Metalurgia;GGBR4;GERDAU;PN      N1;1.242.683.687;1,208;2,133;
Mats Básicos / Sid Metalurgia;GOAU4;GERDAU MET;PN      N1;661.577.619;0,361;2,133;
Mats Básicos / Sid Metalurgia;CSNA3;SID NACIONAL;ON;736.268.400;0,411;2,133;
Mats Básicos / Sid Metalurgia;USIM5;USIMINAS;PNA     N1;515.193.199;0,153;2,133;
Petróleo/ Gás e Biocombustíveis;BRAV3;BRAVA;ON      NM;463.981.130;0,358;17,180;
Petróleo/ Gás e Biocombustíveis;CSAN3;COSAN;ON      NM;1.165.337.843;0,646;17,180;
Petróleo/ Gás e Biocombustíveis;PETR3;PETROBRAS;ON      N2;2.448.348.744;4,545;17,180;
Petróleo/ Gás e Biocombustíveis;PETR4;PETROBRAS;PN      N2;4.431.132.660;7,615;17,180;
Petróleo/ Gás e Biocombustíveis;RECV3;PETRORECSA;ON      NM;275.699.226;0,231;17,180;
Petróleo/ Gás e Biocombustíveis;PRIO3;PETRORIO;ON      NM;798.909.771;1,479;17,180;
Petróleo/ Gás e Biocombustíveis;RAIZ4;RAIZEN;PN      N2;1.192.947.233;0,152;17,180;
Petróleo/ Gás e Biocombustíveis;UGPA3;ULTRAPAR;ON      NM;1.090.134.379;1,063;17,180;
Petróleo/ Gás e Biocombustíveis;VBBR3;VIBRA;ON      NM;1.023.392.529;1,091;17,180;
Saúde/Comércio Distr.;HYPE3;HYPERA;ON      NM;409.310.634;0,407;1,954;
Saúde/Comércio Distr.;RADL3;RAIADROGASIL;ON      NM;1.279.770.315;1,547;1,954;
Saúde/SM Hosp An.Diag;FLRY3;FLEURY;ON      NM;464.420.650;0,300;2,584;
Saúde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON      NM;4.779.395.040;0,724;2,584;
